4.95,4.9,4.85,4.9,4.95,4.9,4.9,4.95,4.85,5.0,5.0,4.9,4.85,4.9,5.0,4.95,4.9,4.95,5.0,4.9,5.0,4.9,5.0,4.95,4.9,4.95,4.95,4.95,5.0,4.95
4.95,4.9,4.85,4.9,4.95,4.9,4.9,4.95,4.85,5.0,5.0,4.9,4.85,4.9,5.0,4.95,4.9,4.95,5.0,4.9,5.0,4.9,5.0,4.95,4.9,4.95,4.95,4.95,5.0,4.95
5.95,6.7,6.55,6.65,6.8,6.25,6.05,6.75,6.15,7.15,6.9,6.3,5.85,6.85,6.4,6.55,5.8,6.15,7.2,6.05,6.1,6.25,6.5,6.7,5.8,6.15,6.7,6.8,6.75,6.25
6.85,7.95,7.2,7.25,8.1,7.0,7.05,7.2,6.95,8.35,8.2,7.15,6.85,8.1,7.1,7.6,6.6,7.55,8.7,7.1,7.1,7.15,7.9,8.2,6.6,6.75,8.4,7.75,7.4,7.25
7.85,9.2,9.25,8.25,9.15,8.5,8.35,8.1,7.95,10.3,9.8,8.25,8.1,10.7,7.95,8.55,7.9,8.35,10.15,9.2,7.95,8.5,9.25,9.85,7.7,7.9,9.8,9.7,8.65,8.45
9.1,11.0,10.9,9.7,10.9,9.95,9.35,9.25,9.4,12.2,10.75,9.15,9.4,13.0,9.0,9.85,9.1,9.8,12.7,11.95,8.95,9.55,10.8,11.2,8.05,9.35,11.15,11.0,10.3,9.95
10.4,12.5,12.45,11.05,12.15,11.65,11.0,10.3,10.55,13.55,12.2,10.5,10.9,15.6,9.95,11.55,11.0,10.8,14.8,14.25,10.7,10.3,12.4,12.7,9.3,10.5,12.85,12.75,11.95,11.55
11.75,14.85,14.0,13.2,13.7,13.9,12.4,12.15,12.25,15.9,13.4,11.65,13.3,17.9,10.9,13.25,12.1,12.7,17.2,17.1,11.65,11.35,14.35,14.2,10.3,12.0,14.5,14.5,13.95,13.45
13.25,17.0,15.65,15.65,14.75,15.9,14.35,13.25,13.9,17.5,15.0,13.45,15.0,19.75,11.7,15.0,14.15,14.2,19.3,19.65,13.0,12.05,15.9,16.1,11.7,14.0,16.1,16.35,16.55,15.55
14.6,18.75,17.6,18.25,16.1,18.45,16.5,15.1,15.45,18.8,16.7,14.95,17.3,22.65,12.8,16.95,15.3,15.85,21.45,22.7,13.7,13.5,17.85,18.05,12.65,15.45,17.9,18.35,18.4,17.15
16.25,20.55,19.1,20.3,17.75,20.6,18.0,16.65,17.7,20.25,17.95,17.0,19.4,23.95,13.75,18.85,16.9,17.5,23.35,24.65,15.55,14.1,19.65,20.25,13.75,17.9,20.2,19.95,20.55,19.25
17.45,22.6,20.6,22.0,18.85,22.45,20.35,18.05,19.35,21.3,18.75,18.05,21.1,25.95,14.9,20.4,18.2,19.2,25.15,26.35,16.3,14.75,21.35,22.15,14.5,19.55,21.75,21.15,22.05,21.25
18.75,24.0,21.55,23.65,20.15,23.9,21.65,19.0,21.3,22.5,19.7,20.15,22.65,27.7,15.8,22.25,20.2,20.35,25.85,27.95,17.3,15.4,22.8,23.25,15.15,21.65,23.85,22.35,23.4,23.15
19.8,24.8,23.0,25.1,21.35,25.25,23.1,20.15,23.0,23.45,20.35,21.35,23.7,29.0,16.95,23.85,21.6,21.85,26.85,29.4,18.05,15.95,23.85,24.25,16.3,23.8,25.25,23.3,25.15,24.55
20.55,25.7,24.15,26.3,22.5,26.1,24.4,21.15,24.65,24.65,21.05,23.2,24.85,30.1,17.35,25.3,22.55,22.75,27.8,30.8,19.25,16.7,25.05,25.05,17.6,25.7,26.9,24.1,26.45,25.3
