4.95,4.9,4.95,4.9,4.95,5.0,5.0,4.85,4.9,5.0,5.0,4.95,4.85,5.0,4.95,4.9,4.95,4.9,4.95,5.0,4.95,4.95,5.0,4.95,4.95,4.95,5.0,5.0,5.0,5.0
4.95,4.9,4.95,4.9,4.95,5.0,5.0,4.85,4.9,5.0,5.0,4.95,4.85,5.0,4.95,4.9,4.95,4.9,4.95,5.0,4.95,4.95,5.0,4.95,4.95,4.95,5.0,5.0,5.0,5.0
5.7,6.25,6.0,6.4,6.65,7.0,6.15,6.4,6.75,5.85,6.6,6.2,6.3,6.75,5.9,6.35,6.4,6.7,6.35,7.4,6.0,7.05,6.4,6.5,6.2,6.75,6.95,6.85,6.1,6.15
6.2,7.3,6.55,7.7,8.1,7.95,7.2,7.55,7.6,6.7,7.6,7.6,7.15,7.85,6.55,7.3,7.15,7.6,7.5,8.9,7.25,8.0,7.25,7.9,7.25,7.95,7.75,8.05,7.0,6.8
7.15,8.95,8.35,9.5,9.6,9.45,8.35,8.15,9.05,7.6,9.45,9.2,8.6,9.25,7.4,8.3,8.9,8.5,9.0,10.65,8.4,10.4,8.3,9.7,8.2,9.65,9.5,9.9,8.45,7.55
8.1,10.35,10.0,10.7,11.4,10.55,9.95,9.5,10.0,8.85,10.65,10.35,9.75,10.6,8.45,9.85,9.8,9.25,10.3,12.75,9.85,11.9,9.25,11.2,9.1,11.05,11.25,11.7,9.45,8.45
9.0,12.2,12.1,12.2,13.1,12.35,11.1,11.1,11.25,10.2,12.6,11.7,11.4,12.25,9.4,10.85,11.4,10.25,11.85,15.0,10.9,12.75,10.4,12.9,10.15,12.9,13.55,13.25,11.2,9.6
9.45,14.2,14.2,13.9,14.05,13.85,12.5,13.25,12.85,11.7,13.95,12.95,13.05,13.5,11.0,11.95,12.4,11.2,13.45,16.7,12.65,14.15,11.35,14.95,10.9,14.95,15.8,16.0,12.5,10.75
10.5,15.75,16.8,15.1,15.55,15.6,14.4,15.2,14.15,13.8,15.05,14.65,14.35,15.0,12.2,13.05,14.25,12.55,15.15,19.25,14.4,15.2,12.35,16.3,12.2,17.3,17.25,17.75,14.6,12.1
11.75,17.35,19.15,16.45,17.2,17.3,15.85,17.35,15.8,16.1,16.45,16.35,15.25,16.25,13.7,14.6,15.15,14.0,17.25,20.85,15.95,16.8,12.95,18.05,13.9,19.55,18.8,19.9,15.85,13.45
13.0,18.65,20.85,17.75,19.15,18.75,17.45,19.35,16.7,18.35,17.25,18.4,16.55,17.35,15.05,16.05,16.9,15.95,19.45,23.1,17.5,17.85,13.9,20.05,16.15,21.8,20.05,22.1,17.6,15.3
14.1,19.55,22.9,18.7,20.15,19.65,18.8,20.95,18.15,19.7,18.9,19.4,17.5,18.75,16.3,16.65,18.2,17.1,20.8,24.4,18.8,19.0,14.25,21.4,17.65,23.9,20.9,23.8,19.35,16.55
15.0,20.55,25.1,19.45,20.95,20.55,20.3,22.1,19.4,20.9,19.6,20.85,18.5,19.75,17.8,18.5,19.3,18.65,22.2,26.0,20.35,20.1,15.0,22.5,19.3,25.15,21.95,25.3,20.75,18.15
16.25,20.95,26.45,20.35,21.8,21.3,21.45,23.7,19.75,22.4,20.65,22.0,19.45,20.8,19.6,19.3,19.8,20.0,23.35,27.45,21.0,20.3,15.55,23.75,21.45,26.4,22.65,26.0,22.8,19.0
16.75,21.35,27.4,20.95,22.2,21.85,22.15,24.65,20.3,23.95,21.6,23.15,19.8,21.9,21.25,20.3,20.4,21.05,24.15,28.15,21.7,21.0,16.0,24.75,22.95,27.55,23.35,27.3,23.3,19.75
17.9,21.85,28.3,21.35,22.8,22.85,22.8,25.45,21.1,25.15,22.05,24.45,20.3,23.05,22.45,21.15,21.3,21.85,24.95,29.3,23.1,21.2,16.3,26.25,24.2,28.75,23.95,28.35,24.2,21.2
19.0,22.2,28.9,21.7,23.15,23.15,24.0,26.0,21.85,26.05,22.35,25.95,20.8,24.35,23.8,21.8,21.8,22.95,26.05,30.3,23.95,21.75,16.5,27.2,25.3,29.25,24.45,29.35,24.9,22.15
20.0,22.7,29.4,21.75,23.85,23.75,24.6,26.6,22.5,26.8,22.8,27.05,21.45,24.9,25.55,22.5,22.05,23.45,26.9,31.3,24.3,22.4,16.65,28.05,26.25,29.7,24.85,29.85,25.85,23.05
20.25,23.05,29.7,22.15,24.05,24.15,25.0,27.25,22.95,27.7,23.2,27.8,21.75,25.55,26.2,22.95,23.0,24.4,27.55,32.35,24.95,22.9,16.85,29.15,26.9,30.5,25.05,30.7,26.5,24.05
21.35,23.25,30.1,22.65,24.5,24.4,25.65,27.8,23.6,28.85,23.45,28.5,22.4,25.95,27.6,23.2,23.55,24.95,28.0,33.15,25.7,23.15,17.0,30.05,27.45,31.0,25.15,31.55,27.15,24.6
22.0,23.35,30.45,23.0,25.2,24.65,26.5,28.25,24.2,29.25,23.6,29.3,22.55,26.75,28.5,23.7,24.3,25.4,28.15,33.35,26.2,23.45,17.0,30.65,27.9,31.25,25.4,32.05,27.75,25.4
22.45,23.5,30.65,23.25,25.5,25.0,27.05,29.25,24.3,29.8,24.0,30.25,22.8,27.35,29.45,24.3,24.6,26.15,28.65,33.9,26.6,23.7,17.15,31.6,28.55,31.5,25.75,32.35,28.4,26.1
22.65,23.65,30.95,23.4,25.85,25.4,27.5,29.65,24.3,30.55,24.35,30.4,23.05,28.15,30.15,24.65,25.3,26.5,29.2,34.3,27.45,23.85,17.4,32.2,28.9,31.6,25.95,32.95,28.85,26.9
23.0,23.9,31.35,23.55,26.4,25.4,27.9,30.05,24.7,30.85,24.55,30.85,23.55,28.3,30.55,24.8,25.75,26.75,29.65,35.0,27.75,24.15,17.55,32.85,29.1,32.2,26.2,33.35,29.0,27.15
